2696 677 0 0 12045 2619 6 6 60 966 14568 43463 108 1183 3518 9603
4061 645 0 0 17555 2341 5 6 120 1981 18496 66839 108 1436 3779 6674
4274 682 0 0 17627 2365 5 6 180 4340 20465 66839 162 1606 4091 6674
4277 685 0 0 17626 2365 5 6 180 4340 20465 66839 162 1606 4091 6674
4164 665 0 0 17552 2358 5 6 180 4225 19630 66839 162 1436 4091 6674
4852 699 0 0 18694 2379 5 6 180 6939 28280 77284 216 1606 4127 6674
8297 920 0 0 36817 3396 8 6 240 11058 61349 105350 216 2022 5282 9608
8169 861 0 0 36824 3370 8 6 195 10199 61349 105350 216 1578 4218 9608
8109 851 0 0 36822 3368 8 6 180 10109 61349 105350 216 1490 4218 9608
8109 851 0 0 36822 3368 8 6 180 10109 61349 105350 216 1490 4218 9608
7836 756 0 0 36750 3226 8 7 180 7845 61349 105350 175 1303 3779 6674
7821 754 0 0 36752 3226 8 7 180 7845 61349 105350 175 1303 3779 6674
7820 754 0 0 36752 3226 8 7 180 7845 61349 105350 162 1303 3779 6674
7510 703 0 0 36501 3170 8 7 180 5711 52377 105350 162 1138 3378 6590
7511 704 0 0 36501 3170 8 7 180 5711 52377 105350 162 1138 3378 6590
7511 699 0 0 36501 3170 8 7 180 5711 52377 105350 162 1001 3378 6590
7507 693 0 0 36501 3169 8 7 180 5711 52377 105350 162 973 3378 6590
7506 692 0 0 36502 3169 8 7 180 5711 52377 105350 162 973 3378 6590
7504 682 0 0 36502 3170 8 7 180 5711 52377 105350 162 918 3378 6590
6513 500 0 0 35575 2632 9 10 120 852 20450 88243 108 545 1955 5641
6512 499 0 0 35576 2632 9 10 120 852 20450 88243 108 545 1955 5641
6510 497 0 0 35576 2632 9 10 120 852 20450 88243 108 545 1955 5641
6508 495 0 0 35576 2632 9 10 120 852 20450 88243 108 545 1955 5641
6505 492 0 0 35577 2633 9 10 60 852 20450 88243 54 545 1955 5641
6505 492 0 0 35577 2633 9 10 60 852 20450 88243 54 545 1955 5641
6505 493 0 0 35577 2633 9 10 60 852 20450 88243 54 545 1955 5641
6934 559 0 0 35769 2682 8 9 120 4798 24308 88243 108 918 2922 5860
7420 674 0 0 35985 2861 8 8 158 7845 54551 88243 149 1375 3611 6591
7413 663 0 0 35986 2859 8 8 120 7845 54551 88243 108 1303 3611 6591
7372 656 0 0 35987 2859 8 8 120 6879 54551 88243 108 1150 3611 6591
7134 635 0 0 35828 2853 8 8 120 5711 29476 88243 108 980 3446 6591
5373 551 0 0 33417 2796 10 9 60 847 20077 68023 54 540 2350 5860
5160 514 0 0 33386 2774 10 9 60 426 17105 68023 54 383 2022 5641
